part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
H90W23,מסנן שמן 5008,,,HENGST FILTER,מסננים,,4.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008:2016:2026
32223,מסנן שמן 5008,,,FEBI BILSTEIN,מסננים,,5.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:1109.AL:Peugeot,פיג'ו:5008:2016:2026; פיג'ו:208:2012:2019
32103,מסנן שמן 5008,,,FEBI BILSTEIN,מסננים,,4.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:98 189 149 80:Peugeot,פיג'ו:5008:2016:2026
26-0193,מסנן שמן 5008,,,MAXGEAR,מסננים,,,,,,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008:2016:2026
FO-210S,מסנן שמן COROLLA,,,JAPANPARTS,מסננים,,7.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:9091510009:Toyota,טויוטה:COROLLA:2013:2019:1ZR-FAE
10-ECO051,מסנן שמן COROLLA,,,ASHIKA,מסננים,,4.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:0415237010:Toyota,טויוטה:COROLLA:2013:2019:1ZR-FAE
27149,מסנן שמן COROLLA,,,FEBI BILSTEIN,מסננים,,4.59,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:90915-YZZJ1:Toyota,טויוטה:COROLLA:2016:2019:1ZR-FAE; טויוטה:RAV4:2018:2026
F113501,מסנן שמן YARIS,,,KAMOKA,מסננים,,5.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:1109AE:Toyota,טויוטה:YARIS::
OC 204,מסנן שמן YARIS,,,MAHLE,מסננים,,8.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:YARIS::
OC 217,מסנן שמן YARIS,,,MAHLE,מסננים,,8.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:YARIS::
FO-316S,מסנן שמן SPORTAGE / i20,,,JAPANPARTS,מסננים,,7.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:2630002752:Kia,קיה:SPORTAGE::; יונדאי:i20::
OC 115,מסנן שמן SPORTAGE,,,MAHLE,מסננים,,7.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE::
OC 275,מסנן שמן PICANTO,,,MAHLE,מסננים,,12.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:PICANTO::
W 67/1,מסנן שמן PICANTO / QASHQAI / CLIO,,,MANN-FILTER,מסננים,,8.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:PICANTO::; ניסאן:QASHQAI::; רנו:CLIO::
OC 205,מסנן שמן TUCSON,,,MAHLE,מסננים,,6.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:TUCSON::
OC 1673,מסנן שמן TUCSON,,,MAHLE,מסננים,,7.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:TUCSON::
OC 47,מסנן שמן i20,,,MAHLE,מסננים,,5.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:i20::
OC 1063,מסנן שמן 3,,,MAHLE,מסננים,,8.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MAZDA 3::
OC 1566,מסנן שמן 3,,,MAHLE,מסננים,,8.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MAZDA 3::
OC 295,מסנן שמן OCTAVIA,,,MAHLE,מסננים,,7.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
W 712/95,מסנן שמן OCTAVIA,,,MANN-FILTER,מסננים,,9.59,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
W 719/30,מסנן שמן OCTAVIA,,,MANN-FILTER,מסננים,,10.49,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
W 75/3,מסנן שמן QASHQAI,,,MANN-FILTER,מסננים,,7.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,ניסאן:QASHQAI::
W 79,מסנן שמן QASHQAI,,,MANN-FILTER,מסננים,,7.99,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,ניסאן:QASHQAI::
OC 976,מסנן שמן CLIO,,,MAHLE,מסננים,,7.29,,EUR,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,רנו:CLIO::
C 29 110,מסנן אוויר 5008,,,MANN-FILTER,מסננים,,16.49,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
LX 804/S,מסנן אוויר 5008,,,MAHLE,מסננים,,26.49,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
LX 2059,מסנן אוויר 5008,,,MAHLE,מסננים,,19.99,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
LX 735,מסנן אוויר COROLLA,,,MAHLE,מסננים,,10.99,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
LX 684,מסנן אוויר COROLLA,,,MAHLE,מסננים,,11.99,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
LX 572,מסנן אוויר COROLLA,,,MAHLE,מסננים,,9.59,,EUR,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
FP 2939/1,מסנן מזגן OCTAVIA,,,MANN-FILTER,מסננים,,16.49,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
FP 2939,מסנן מזגן OCTAVIA,,,MANN-FILTER,מסננים,,18.49,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
LAK 181,מסנן מזגן OCTAVIA,,,MAHLE,מסננים,,13.49,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
LAO 490,מסנן מזגן COROLLA,,,MAHLE,מסננים,,23.99,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::; טויוטה:YARIS:2012:2020
DCF387K,מסנן מזגן COROLLA,,,DENSO,מסננים,,16.99,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:87139-YZZ34:Toyota,טויוטה:COROLLA::; טויוטה:RAV4:2018:2026; טויוטה:C-HR:2016:2026
DCF469P,מסנן מזגן COROLLA,,,DENSO,מסננים,,6.29,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:87139YZZ07:Toyota,טויוטה:COROLLA::
FP 22 032,מסנן מזגן COROLLA,,,MANN-FILTER,מסננים,,35.49,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::; טויוטה:C-HR:2016:2026
FP 1919,מסנן מזגן COROLLA,,,MANN-FILTER,מסננים,,15.99,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
0 986 628 572,מסנן מזגן i20,,,BOSCH,מסננים,,19.99,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:i20::
LAK 129,מסנן מזגן i20,,,MAHLE,מסננים,,19.49,,EUR,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:i20::
GDB2193,רפידות בלם קדמיות 5008,,,TRW,בלמים,,58.49,,EUR,1,,,,,,,,brake_pads_front,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008:2016:2026
3 397 014 490,מגב COROLLA,,,BOSCH,מגבים,,22.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
3 397 007 570,מגב COROLLA,,,BOSCH,מגבים,,24.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::
3 397 118 911,מגב COROLLA / 3,,,BOSCH,מגבים,,24.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA::; מאזדה:MAZDA 3::
578519,מגב 5008,,,VALEO,מגבים,,16.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
AD26FL660,מגב 5008,,,BLUE PRINT,מגבים,,11.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:26FL660:,פיג'ו:5008::
3 397 007 501,מגב 5008,,,BOSCH,מגבים,,31.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
119457,מגב 5008,,,SWF,מגבים,,35.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,פיג'ו:5008::
119272,מגב OCTAVIA,,,SWF,מגבים,,20.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
3 397 118 405,מגב OCTAVIA,,,BOSCH,מגבים,,14.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
2800011100280,מגב OCTAVIA,,,Continental,מגבים,,61.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,סקודה:OCTAVIA::
3 397 118 560,מגב SPORTAGE,,,BOSCH,מגבים,,15.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE::
3 397 010 413,מגב SPORTAGE / i20,,,BOSCH,מגבים,,17.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE::; יונדאי:i20::
3 397 118 907,מגב SPORTAGE,,,BOSCH,מגבים,,26.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE::
3 397 118 304,מגב i20,,,BOSCH,מגבים,,16.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:i20::
3 397 014 158,מגב i20,,,BOSCH,מגבים,,23.49,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,יונדאי:i20::
3 397 014 421,מגב 3,,,BOSCH,מגבים,,22.99,,EUR,1,,,,,,,,wiper_blade,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MAZDA 3::
