part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
OC 1673,מסנן שמן IONIQ היברידי,Oil Filter,,MAHLE,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE 1.6 GDI Hybrid (G4LE). לאימות מול הספק לפני מכירה.",1,OEM:26300-35505:Hyundai; OEM:26300-35504:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
F 026 407 124,מסנן שמן IONIQ היברידי,Oil Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE 1.6 GDI Hybrid (G4LE). לאימות מול הספק לפני מכירה.",1,OEM:26300-35505:Hyundai; OEM:26300-35504:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
F 026 400 670,מסנן אוויר IONIQ היברידי,Air Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC - הדף מציין במפורש for OE number 28113 G2700.",1,OEM:28113-G2700:Hyundai; OEM:28113-G2100:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
LX 5824,מסנן אוויר IONIQ היברידי,Air Filter,,MAHLE,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE 1.6 GDI Hybrid.",1,OEM:28113-G2700:Hyundai; OEM:28113-G2100:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
E2016L,מסנן אוויר IONIQ היברידי,Air Filter,,HENGST FILTER,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE 1.6 GDI Hybrid.",1,OEM:28113-G2700:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
LA 1526,מסנן מזגן IONIQ היברידי,Cabin Filter,,MAHLE,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE. 195x240x28 להגה שמאלי. גרסת פחם פעיל: LAK 1526.",1,OEM:97133-G2000:Hyundai; OEM:97133-F2200:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
LAK 1526,מסנן מזגן פחם פעיל IONIQ היברידי,Cabin Filter Carbon,,MAHLE,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE. גרסת פחם פעיל של LA 1526.",1,OEM:97133-G2000:Hyundai; OEM:97133-F2200:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
1 987 435 159,מסנן מזגן IONIQ היברידי,Cabin Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Hyundai Ioniq AE (M 5159).",1,OEM:97133-G2000:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
58101-G2A00,רפידות בלם קדמיות IONIQ היברידי,Front Brake Pads,,HYUNDAI,בלמים,,,,ILS,1,,,,,,,front,brake_pads_front,,"מק""ט מקורי בלבד - טרם נמצא חלופי מאומת. מקור: hyundaipartsdeal.com.",1,OEM:58101-G2A00:Hyundai,יונדאי:IONIQ HYBRID:2016:2022:1.6 GDI
W 712/95,מסנן שמן איביזה / ארונה / קודיאק,Oil Filter,,MANN-FILTER,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: טבלת הצלבה של קבוצת VW למנועי 1.0/1.4/1.5 TSI. לאימות מול הספק.",1,OEM:04E115561H:VW; OEM:04E115561AC:VW; OEM:04E115561T:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI; סקודה:KODIAQ:2016:2026:1.5 TSI
OC 977/1,מסנן שמן איביזה / ארונה / קודיאק,Oil Filter,,MAHLE,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Seat Ibiza KJ1 1.0 TSI.",1,OEM:04E115561H:VW; OEM:04E115561AC:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI; סקודה:KODIAQ:2016:2026:1.5 TSI
108330,מסנן שמן איביזה / ארונה / קודיאק,Oil Filter,,FEBI BILSTEIN,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC - הדף מציין במפורש for OE number 04E 115 561 H, מנועים CHZJ/DKRF/DKJA.",1,OEM:04E115561H:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI; סקודה:KODIAQ:2016:2026:1.5 TSI
LS969,מסנן שמן איביזה / ארונה / קודיאק,Oil Filter,,PURFLUX,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Seat Ibiza KJ1 1.0 TSI.",1,OEM:04E115561H:VW; OEM:030115561AN:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI
F 026 407 143,מסנן שמן איביזה / ארונה / קודיאק,Oil Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: טבלת הצלבה של קבוצת VW למנועי 1.0/1.4/1.5 TSI.",1,OEM:04E115561H:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI; סקודה:KODIAQ:2016:2026:1.5 TSI
103799,מסנן אוויר איביזה / ארונה,Air Filter,,FEBI BILSTEIN,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC - הדף מציין במפורש for OE number 04C 129 620 A, מנועי 1.0 TSI תלת-בוכנתיים.",1,OEM:04C129620A:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI
C 22 035,מסנן אוויר איביזה 1.5 TSI,Air Filter,,MANN-FILTER,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Seat Ibiza KJ1. אורך 270 מ""מ - לאמת מול נפח המנוע לפני מכירה.",1,OEM:5Q0129620E:VW; OEM:5Q0129620G:VW,סיאט:IBIZA:2017:2026:1.5 TSI
FP 26 021,מסנן מזגן איביזה / ארונה,Cabin Filter,,MANN-FILTER,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC + partsale.lv, דף Seat Ibiza V (KJ1).",1,OEM:2Q0819669:VW; OEM:6R0819653:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI
K 1388A,מסנן מזגן איביזה / ארונה,Cabin Filter,,FILTRON,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Seat Ibiza KJ1 1.0 TSI.",1,OEM:2Q0819669:VW; OEM:6R0819653:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI
1 987 435 596,מסנן מזגן פחם פעיל איביזה / ארונה,Cabin Filter Carbon,,BOSCH,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Seat Ibiza KJ1. גרסה בסיסית: 1 987 435 135.",1,OEM:2Q0819669:VW; OEM:6R0819653:VW,סיאט:IBIZA:2017:2026:1.0 TSI; סיאט:ARONA:2017:2026:1.0 TSI
OC 534,מסנן שמן SX4 קרוסאובר / ויטרה,Oil Filter,,MAHLE,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross 1.6 M16A. המק""ט המקורי אומת בנפרד מול ספקי סוזוקי.",1,OEM:16510-61A31:Suzuki; OEM:16510-61A30:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
0 986 452 044,מסנן שמן SX4 קרוסאובר / ויטרה,Oil Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,oil_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross 1.6 M16A.",1,OEM:16510-61A31:Suzuki; OEM:16510-61A30:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
C 28 200,מסנן אוויר SX4 קרוסאובר / ויטרה,Air Filter,,MANN-FILTER,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross 1.6 M16A. 282x169x28 מ""מ.",1,OEM:13780-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
585020,מסנן אוויר SX4 קרוסאובר / ויטרה,Air Filter,,VALEO,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross 1.6 M16A.",1,OEM:13780-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
F 026 400 473,מסנן אוויר SX4 קרוסאובר / ויטרה,Air Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,air_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross 1.6 M16A (S 0073).",1,OEM:13780-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
1 987 435 071,מסנן מזגן SX4 קרוסאובר / ויטרה,Cabin Filter,,BOSCH,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross (M 5071). 213x191x30 מ""מ.",1,OEM:95860-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
424I0468,מסנן מזגן פחם פעיל SX4 קרוסאובר / ויטרה,Cabin Filter Carbon,,RIDEX,מסננים,,,,ILS,1,,,,,,,,cabin_filter,,"מקור: AUTODOC, דף Suzuki SX4 S-Cross.",1,OEM:95860-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A; סוזוקי:VITARA:2015:2026:1.6 M16A
