part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
17220-5AA-A00,מסנן אוויר — הונדה CIVIC,מסנן אוויר,Honda,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17220-5AA-A00:Honda,הונדה:CIVIC:2016:2022
80291-TF3-E01,מסנן מזגן — הונדה CIVIC,מסנן מזגן,Honda,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:80291-TF3-E01:Honda,הונדה:CIVIC:2016:2022
15400-PH1-F04,מסנן שמן — הונדה CIVIC,מסנן שמן,Honda,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:15400-PH1-F04:Honda,הונדה:CIVIC:2016:2022
4351202250,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351202250:Toyota,טויוטה:AURIS:2012:2019
4351206140,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351206140:Toyota,טויוטה:AURIS:2012:2019
4351233130,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351233130:Toyota,טויוטה:AURIS:2012:2019
4351233140,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351233140:Toyota,טויוטה:AURIS:2012:2019
4351242050,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351242050:Toyota,טויוטה:AURIS:2012:2019
4351242100,מסנן אוויר — טויוטה AURIS,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4351242100:Toyota,טויוטה:AURIS:2012:2019
43512-02250,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-02250:Toyota,טויוטה:AURIS:2012:2019
43512-06090,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-06090:Toyota,טויוטה:AURIS:2012:2019
43512-06100,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-06100:Toyota,טויוטה:AURIS:2012:2019
43512-06150,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-06150:Toyota,טויוטה:AURIS:2012:2019
43512-0R020,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-0R020:Toyota,טויוטה:AURIS:2012:2019
43512-42100,דיסק בלם קדמי — טויוטה AURIS,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-42100:Toyota,טויוטה:AURIS:2012:2019
0446502230,רפידות בלם קדמיות — טויוטה AURIS,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446502230:Toyota,טויוטה:AURIS:2012:2019
044650R031,רפידות בלם קדמיות — טויוטה AURIS,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:044650R031:Toyota,טויוטה:AURIS:2012:2019
