part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
3563700910,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,JP GROUP,בלמים,,37.48,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
B111279,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,DENCKERMANN,בלמים,,42.51,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
51-0K-K06,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,ASHIKA,בלמים,,50.62,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
KBP-3053,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,KAVO PARTS,בלמים,,52.05,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
PP-K06AF,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,JAPANPARTS,בלמים,,54.08,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
LP3309,רפידות בלם אחוריות ספורטאז',Rear Brake Pads,,DELPHI,בלמים,,64.63,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-D3A00:Kia,קיה:SPORTAGE:2015:2022; יונדאי:TUCSON:2015:2020
A6485S,אלטרנטור ספורטאז',Alternator,,AS-PL,מנוע,,703.61,,ILS,1,,,,,,,,alternator,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:37300-2G051:Kia,קיה:SPORTAGE:2015:2022
37300-2G051,אלטרנטור ספורטאז',Alternator,,Kia,מנוע,,3003.75,,ILS,1,,,,,,,,alternator,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:37300-2G051:Kia,קיה:SPORTAGE:2015:2022
1260W0629,משאבת מים ספורטאז',Water Pump,,RIDEX,מנוע,,71.20,,ILS,1,,,,,,,,water_pump,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25100-2GTC0:Kia,קיה:SPORTAGE:2015:2022
25100-2GTC0,משאבת מים ספורטאז',Water Pump,,Hyundai,מנוע,,853.08,,ILS,1,,,,,,,,water_pump,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:25100-2GTC0:Kia,קיה:SPORTAGE:2015:2022
JQ101026,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,KAMOKA,בלמים,,47.86,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
KBP-4581,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,KAVO PARTS,בלמים,,54.01,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
0 986 494 768,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,BOSCH,בלמים,,74.20,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
LP3665,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,DELPHI,בלמים,,98.87,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
GDB2248,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,TRW,בלמים,,104.77,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
8DB 355 037-921,רפידות בלם אחוריות פיקנטו,Rear Brake Pads,,HELLA,בלמים,,120.29,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-G6A10:Kia,קיה:PICANTO:2017:2026
37300-04070,אלטרנטור פיקנטו,Alternator,,Kia,מנוע,,3263.69,,ILS,1,,,,,,,,alternator,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:37300-04070:Kia,קיה:PICANTO:2017:2026
3563701110,רפידות בלם אחוריות ריו,Rear Brake Pads,,JP GROUP,בלמים,,35.14,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
05P1710,רפידות בלם אחוריות ריו,Rear Brake Pads,,LPR,בלמים,,48.28,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
116378,רפידות בלם אחוריות ריו,Rear Brake Pads,,FEBI BILSTEIN,בלמים,,75.22,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
LP2295,רפידות בלם אחוריות ריו,Rear Brake Pads,,DELPHI,בלמים,,75.85,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
21807.12,רפידות בלם אחוריות ריו,Rear Brake Pads,,ROADHOUSE,בלמים,,78.22,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
ADG042165,רפידות בלם אחוריות ריו,Rear Brake Pads,,BLUE PRINT,בלמים,,80.32,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:58302-H9A10:Kia,קיה:RIO:2017:2026
JQ101032,רפידות בלם אחוריות CX-5,Rear Brake Pads,,KAMOKA,בלמים,,45.59,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
51-03-318,רפידות בלם אחוריות CX-5,Rear Brake Pads,,ASHIKA,בלמים,,52.44,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
KBP-4582,רפידות בלם אחוריות CX-5,Rear Brake Pads,,KAVO PARTS,בלמים,,55.02,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
PP-318AF,רפידות בלם אחוריות CX-5,Rear Brake Pads,,JAPANPARTS,בלמים,,56.28,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
19-3671,רפידות בלם אחוריות CX-5,Rear Brake Pads,,MAXGEAR,בלמים,,57.78,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
ADB32416,רפידות בלם אחוריות CX-5,Rear Brake Pads,,ALLIED NIPPON,בלמים,,65.78,,ILS,1,,,,,,,,brake_pads_rear,,"מקור: alvadi.co.il, חיפוש לפי המק""ט המקורי. המק""ט המקורי אומת מול קטלוג סוחר מורשה. מחיר לאימות מול הספק לפני מכירה.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
